PARAM_START
FORMAT:   SCIFI_POS_TABLE
VERSION:  2
TYPE:     2
DATA:     080408
COMMENT:  08Apr08: Added the information of the fibers position on MAPMT.
          The others eqaul that of "scifi_pos_table.dat".
114  1  0  1 14 091
115  1  0  1  8 067
116  1  0  1 37 082
117  1  0  1 35 074
118  1  0  1 39 090
119  1  0  1 33 066
120  1  0  1 21 081
121  1  0  1 19 073
122  1  0  1 23 089
123  1  0  1 17 065
124  1  0  1  5 080
125  1  0  1  3 072
126  1  0  1  7 088
127  1  0  1  1 064
128 -1 -1 -1 -1  -1
129 -1 -1 -1 -1  -1
130 -1 -1 -1 -1  -1
131 -1 -1 -1 -1  -1
132  0  1  0 12 169
133  0  1  0 10 177
134  0  1  0 14 161
135  0  1  0  8 185
136  0  1  0  9 170
137  0  1  0  7 178
138  0  1  0 11 162
139  0  1  0  5 186
140  1  1  0  4 171
141  1  1  0  2 179
142  1  1  0  6 163
143  1  1  0  0 187
144  1  1  0 20 172
145  1  1  0 18 180
146  1  1  0 22 164
147  1  1  0 16 188
148  1  1  0 36 173
149  1  1  0 34 181
150  1  1  0 38 165
151  1  1  0 32 189
152  1  1  0 13 174
153  1  1  0 11 182
154  1  1  0 15 166
155  1  1  0  9 190
156  1  1  0 29 175
157  1  1  0 27 183
158  1  1  0 31 167
159  1  1  0 25 191
160  1  1  0 35 151
161  1  1  0 37 143
162  1  1  0 33 159
163  1  1  0 39 135
164  1  1  0 19 150
165  1  1  0 21 142
166  1  1  0 17 158
167  1  1  0 23 134
168  1  1  0  3 149
169  1  1  0  5 141
170  1  1  0  1 157
171  1  1  0  7 133
172  1  1  0 26 148
173  1  1  0 28 140
174  1  1  0 24 156
175  1  1  0 30 132
176  1  1  0 10 147
177  1  1  0 12 139
178  1  1  0  8 155
179  1  1  0 14 131
180  0  1  0 15 146
181  0  1  0 17 138
182  0  1  0 13 154
183  0  1  0 19 130
184  0  1  0 18 145
185  0  1  0  1 137
186  0  1  0 16 153
187  0  1  0  3 129
188  0  1  0  2 144
189  0  1  0  4 136
190  0  1  0  0 152
191  0  1  0  6 128
192  1  1  1 11 232
193  1  1  1 13 240
194  1  1  1  9 224
195  1  1  1 15 248
196  1  1  1 27 233
197  1  1  1 29 241
198  1  1  1 25 225
199  1  1  1 31 249
200  1  1  1  2 234
201  1  1  1  4 242
202  1  1  1  0 226
203  1  1  1  6 250
204  1  1  1 18 235
205  1  1  1 20 243
206  1  1  1 16 227
207  1  1  1 22 251
208  1  1  1 34 236
209  1  1  1 36 244
210  1  1  1 32 228
211  1  1  1 38 252
212  0  1  1 11 237
213  0  1  1 13 245
214  0  1  1  9 229
215  0  1  1 15 253
216  0  1  1  6 238
217  0  1  1  8 246
218  0  1  1  4 230
219  0  1  1 10 254
220 -1 -1 -1 -1  -1
221 -1 -1 -1 -1  -1
222 -1 -1 -1 -1  -1
223 -1 -1 -1 -1  -1
224  0  1  1 16 215
225  0  1  1 14 207
226  0  1  1 18 223
227  0  1  1 12 199
228  0  1  1  0 214
229  0  1  1 19 206
230  0  1  1  2 222
231  0  1  1 17 198
232  0  1  1  5 213
233  0  1  1  3 205
234  0  1  1  7 221
235  0  1  1  1 197
236  1  1  1 28 212
237  1  1  1 26 204
238  1  1  1 30 220
239  1  1  1 24 196
240  1  1  1 12 211
241  1  1  1 10 203
242  1  1  1 14 219
243  1  1  1  8 195
244  1  1  1 37 210
245  1  1  1 35 202
246  1  1  1 39 218
247  1  1  1 33 194
248  1  1  1 21 209
249  1  1  1 19 201
250  1  1  1 23 217
251  1  1  1 17 193
252  1  1  1  5 208
253  1  1  1  3 200
254  1  1  1  7 216
255  1  1  1  1 192
256 -1 -1 -1 -1  -1
257 -1 -1 -1 -1  -1
258 -1 -1 -1 -1  -1
259 -1 -1 -1 -1  -1
260  0  2  0 12 297
261  0  2  0 10 305
262  0  2  0 14 289
263  0  2  0  8 313
264  0  2  0  9 298
265  0  2  0  7 306
266  0  2  0 11 290
267  0  2  0  5 314
268  1  2  0  4 299
269  1  2  0  2 307
270  1  2  0  6 291
271  1  2  0  0 315
272  1  2  0 20 300
273  1  2  0 18 308
274  1  2  0 22 292
275  1  2  0 16 316
276  1  2  0 36 301
277  1  2  0 34 309
278  1  2  0 38 293
279  1  2  0 32 317
280  1  2  0 13 302
281  1  2  0 11 310
282  1  2  0 15 294
283  1  2  0  9 318
284  1  2  0 29 303
285  1  2  0 27 311
286  1  2  0 31 295
287  1  2  0 25 319
288  1  2  0 35 279
289  1  2  0 37 271
290  1  2  0 33 287
291  1  2  0 39 263
292  1  2  0 19 278
293  1  2  0 21 270
294  1  2  0 17 286
295  1  2  0 23 262
296  1  2  0  3 277
297  1  2  0  5 269
298  1  2  0  1 285
299  1  2  0  7 261
300  1  2  0 26 276
301  1  2  0 28 268
302  1  2  0 24 284
303  1  2  0 30 260
304  1  2  0 10 275
305  1  2  0 12 267
306  1  2  0  8 283
307  1  2  0 14 259
308  0  2  0 15 274
309  0  2  0 17 266
310  0  2  0 13 282
311  0  2  0 19 258
312  0  2  0 18 273
313  0  2  0  1 265
314  0  2  0 16 281
315  0  2  0  3 257
316  0  2  0  2 272
317  0  2  0  4 264
318  0  2  0  0 280
319  0  2  0  6 256
320  1  2  1 11 360
321  1  2  1 13 368
322  1  2  1  9 352
323  1  2  1 15 376
324  1  2  1 27 361
325  1  2  1 29 369
326  1  2  1 25 353
327  1  2  1 31 377
328  1  2  1  2 362
329  1  2  1  4 370
330  1  2  1  0 354
331  1  2  1  6 378
332  1  2  1 18 363
333  1  2  1 20 371
334  1  2  1 16 355
335  1  2  1 22 379
336  1  2  1 34 364
337  1  2  1 36 372
338  1  2  1 32 356
339  1  2  1 38 380
340  0  2  1 11 365
341  0  2  1 13 373
342  0  2  1  9 357
343  0  2  1 15 381
344  0  2  1  6 366
345  0  2  1  8 374
346  0  2  1  4 358
347  0  2  1 10 382
348 -1 -1 -1 -1  -1
349 -1 -1 -1 -1  -1
350 -1 -1 -1 -1  -1
351 -1 -1 -1 -1  -1
352  0  2  1 16 343
353  0  2  1 14 335
354  0  2  1 18 351
355  0  2  1 12 327
356  0  2  1  0 342
357  0  2  1 19 334
358  0  2  1  2 350
359  0  2  1 17 326
360  0  2  1  5 341
361  0  2  1  3 333
362  0  2  1  7 349
363  0  2  1  1 325
364  1  2  1 28 340
365  1  2  1 26 332
366  1  2  1 30 348
367  1  2  1 24 324
368  1  2  1 12 339
369  1  2  1 10 331
370  1  2  1 14 347
371  1  2  1  8 323
372  1  2  1 37 338
373  1  2  1 35 330
374  1  2  1 39 346
375  1  2  1 33 322
376  1  2  1 21 337
377  1  2  1 19 329
378  1  2  1 23 345
379  1  2  1 17 321
380  1  2  1  5 336
381  1  2  1  3 328
382  1  2  1  7 344
383  1  2  1  1 320
384 -1 -1 -1 -1  -1
385 -1 -1 -1 -1  -1
386 -1 -1 -1 -1  -1
387 -1 -1 -1 -1  -1
388  0  3  0 12 425
389  0  3  0 10 433
390  0  3  0 14 417
391  0  3  0  8 441
392  0  3  0  9 426
393  0  3  0  7 434
394  0  3  0 11 418
395  0  3  0  5 442
396  1  3  0  4 427
397  1  3  0  2 435
398  1  3  0  6 419
399  1  3  0  0 443
400  1  3  0 20 428
401  1  3  0 18 436
402  1  3  0 22 420
403  1  3  0 16 444
404  1  3  0 36 429
405  1  3  0 34 437
406  1  3  0 38 421
407  1  3  0 32 445
408  1  3  0 13 430
409  1  3  0 11 438
410  1  3  0 15 422
411  1  3  0  9 446
412  1  3  0 29 431
413  1  3  0 27 439
414  1  3  0 31 423
415  1  3  0 25 447
416  1  3  0 35 407
417  1  3  0 37 399
418  1  3  0 33 415
419  1  3  0 39 391
420  1  3  0 19 406
421  1  3  0 21 398
422  1  3  0 17 414
423  1  3  0 23 390
424  1  3  0  3 405
425  1  3  0  5 397
426  1  3  0  1 413
427  1  3  0  7 389
428  1  3  0 26 404
429  1  3  0 28 396
430  1  3  0 24 412
431  1  3  0 30 388
432  1  3  0 10 403
433  1  3  0 12 395
434  1  3  0  8 411
435  1  3  0 14 387
436  0  3  0 15 402
437  0  3  0 17 394
438  0  3  0 13 410
439  0  3  0 19 386
440  0  3  0 18 401
441  0  3  0  1 393
442  0  3  0 16 409
443  0  3  0  3 385
444  0  3  0  2 400
445  0  3  0  4 392
446  0  3  0  0 408
447  0  3  0  6 384
448  1  3  1 11 488
449  1  3  1 13 496
450  1  3  1  9 480
451  1  3  1 15 504
452  1  3  1 27 489
453  1  3  1 29 497
454  1  3  1 25 481
455  1  3  1 31 505
456  1  3  1  2 490
457  1  3  1  4 498
458  1  3  1  0 482
459  1  3  1  6 506
460  1  3  1 18 491
461  1  3  1 20 499
462  1  3  1 16 483
463  1  3  1 22 507
464  1  3  1 34 492
465  1  3  1 36 500
466  1  3  1 32 484
467  1  3  1 38 508
468  0  3  1 11 493
469  0  3  1 13 501
470  0  3  1  9 485
471  0  3  1 15 509
472  0  3  1  6 494
473  0  3  1  8 502
474  0  3  1  4 486
475  0  3  1 10 510
476 -1 -1 -1 -1  -1
477 -1 -1 -1 -1  -1
478 -1 -1 -1 -1  -1
479 -1 -1 -1 -1  -1
480  0  3  1 16 471
481  0  3  1 14 463
482  0  3  1 18 479
483  0  3  1 12 455
484  0  3  1  0 470
485  0  3  1 19 462
486  0  3  1  2 478
487  0  3  1 17 454
488  0  3  1  5 469
489  0  3  1  3 461
490  0  3  1  7 477
491  0  3  1  1 453
492  1  3  1 28 468
493  1  3  1 26 460
494  1  3  1 30 476
495  1  3  1 24 452
496  1  3  1 12 467
497  1  3  1 10 459
498  1  3  1 14 475
499  1  3  1  8 451
500  1  3  1 37 466
501  1  3  1 35 458
502  1  3  1 39 474
503  1  3  1 33 450
504  1  3  1 21 465
505  1  3  1 19 457
506  1  3  1 23 473
507  1  3  1 17 449
508  1  3  1  5 464
509  1  3  1  3 456
510  1  3  1  7 472
511  1  3  1  1 448
DATA_END
