PARAM_START
FORMAT:  SCIFI_GAIN
TYPE:    1
VERSION: 4
DATE:    170501
COMMENT: Dummy
         New value for 650V was newly added.
	 HV:    950   650    600   550      480    
D  0  2  1  14  950 1.000000
D  0  2  1  15  950 1.000000
D  0  2  1  16  950 1.000000
D  0  2  1  17  950 1.000000
D  0  2  1  18  950 1.000000
D  0  2  1  19  950 1.000000
D  0  3  0   0  950 1.000000
D  0  3  0   1  950 1.000000
D  0  3  0   2  950 1.000000
D  0  3  0   3  950 1.000000
D  0  3  0   4  950 1.000000
D  0  3  0   5  950 1.000000
D  0  3  0   6  950 1.000000
D  0  3  0   7  950 1.000000
D  0  3  0   8  950 1.000000
D  0  3  0   9  950 1.000000
D  0  3  0  10  950 1.000000
D  0  3  0  11  950 1.000000
D  0  3  0  12  950 1.000000
D  0  3  0  13  950 1.000000
D  0  3  0  14  950 1.000000
D  0  3  0  15  950 1.000000
D  0  3  0  16  950 1.000000
D  0  3  0  17  950 1.000000
D  0  3  0  18  950 1.000000
D  0  3  0  19  950 1.000000
D  0  3  1   0  950 1.000000
D  0  3  1   1  950 1.000000
D  0  3  1   2  950 1.000000
D  0  3  1   3  950 1.000000
D  0  3  1   4  950 1.000000
D  0  3  1   5  950 1.000000
D  0  3  1   6  950 1.000000
D  0  3  1   7  950 1.000000
D  0  3  1   8  950 1.000000
D  0  3  1   9  950 1.000000
D  0  3  1  10  950 1.000000
D  0  3  1  11  950 1.000000
D  0  3  1  12  950 1.000000
D  0  3  1  13  950 1.000000
D  0  3  1  14  950 1.000000
D  0  3  1  15  950 1.000000
D  0  3  1  16  950 1.000000
D  0  3  1  17  950 1.000000
D  0  3  1  18  950 1.000000
D  0  3  1  19  950 1.000000
D  1  0  0   0  950 1.000000
D  1  0  0   1  950 1.000000
D  1  0  0   2  950 1.000000
D  1  0  0   3  950 1.000000
D  1  0  0   4  950 1.000000
D  1  0  0   5  950 1.000000
D  1  0  0   6  950 1.000000
D  1  0  0   7  950 1.000000
D  1  0  0   8  950 1.000000
D  1  0  0   9  950 1.000000
D  1  0  0  10  950 1.000000
D  1  0  0  11  950 1.000000
D  1  0  0  12  950 1.000000
D  1  0  0  13  950 1.000000
D  1  0  0  14  950 1.000000
D  1  0  0  15  950 1.000000
D  1  0  0  16  950 1.000000
D  1  0  0  17  950 1.000000
D  1  0  0  18  950 1.000000
D  1  0  0  19  950 1.000000
D  1  0  0  20  950 1.000000
D  1  0  0  21  950 1.000000
D  1  0  0  22  950 1.000000
D  1  0  0  23  950 1.000000
D  1  0  0  24  950 1.000000
D  1  0  0  25  950 1.000000
D  1  0  0  26  950 1.000000
D  1  0  0  27  950 1.000000
D  1  0  0  28  950 1.000000
D  1  0  0  29  950 1.000000
D  1  0  0  30  950 1.000000
D  1  0  0  31  950 1.000000
D  1  0  0  32  950 1.000000
D  1  0  0  33  950 1.000000
D  1  0  0  34  950 1.000000
D  1  0  0  35  950 1.000000
D  1  0  0  36  950 1.000000
D  1  0  0  37  950 1.000000
D  1  0  0  38  950 1.000000
D  1  0  0  39  950 1.000000
D  1  0  1   0  950 1.000000
D  1  0  1   1  950 1.000000
D  1  0  1   2  950 1.000000
D  1  0  1   3  950 1.000000
D  1  0  1   4  950 1.000000
D  1  0  1   5  950 1.000000
D  1  0  1   6  950 1.000000
D  1  0  1   7  950 1.000000
D  1  0  1   8  950 1.000000
D  1  0  1   9  950 1.000000
D  1  0  1  10  950 1.000000
D  1  0  1  11  950 1.000000
D  1  0  1  12  950 1.000000
D  1  0  1  13  950 1.000000
D  1  0  1  14  950 1.000000
D  1  0  1  15  950 1.000000
D  1  0  1  16  950 1.000000
D  1  0  1  17  950 1.000000
D  1  0  1  18  950 1.000000
D  1  0  1  19  950 1.000000
D  1  0  1  20  950 1.000000
D  1  0  1  21  950 1.000000
D  1  0  1  22  950 1.000000
D  1  0  1  23  950 1.000000
D  1  0  1  24  950 1.000000
D  1  0  1  25  950 1.000000
D  1  0  1  26  950 1.000000
D  1  0  1  27  950 1.000000
D  1  0  1  28  950 1.000000
D  1  0  1  29  950 1.000000
D  1  0  1  30  950 1.000000
D  1  0  1  31  950 1.000000
D  1  0  1  32  950 1.000000
D  1  0  1  33  950 1.000000
D  1  0  1  34  950 1.000000
D  1  0  1  35  950 1.000000
D  1  0  1  36  950 1.000000
D  1  0  1  37  950 1.000000
D  1  0  1  38  950 1.000000
D  1  0  1  39  950 1.000000
D  1  1  0   0  950 1.000000
D  1  1  0   1  950 1.000000
D  1  1  0   2  950 1.000000
D  1  1  0   3  950 1.000000
D  1  1  0   4  950 1.000000
D  1  1  0   5  950 1.000000
D  1  1  0   6  950 1.000000
D  1  1  0   7  950 1.000000
D  1  1  0   8  950 1.000000
D  1  1  0   9  950 1.000000
D  1  1  0  10  950 1.000000
D  1  1  0  11  950 1.000000
D  1  1  0  12  950 1.000000
D  1  1  0  13  950 1.000000
D  1  1  0  14  950 1.000000
D  1  1  0  15  950 1.000000
D  1  1  0  16  950 1.000000
D  1  1  0  17  950 1.000000
D  1  1  0  18  950 1.000000
D  1  1  0  19  950 1.000000
D  1  1  0  20  950 1.000000
D  1  1  0  21  950 1.000000
D  1  1  0  22  950 1.000000
D  1  1  0  23  950 1.000000
D  1  1  0  24  950 1.000000
D  1  1  0  25  950 1.000000
D  1  1  0  26  950 1.000000
D  1  1  0  27  950 1.000000
D  1  1  0  28  950 1.000000
D  1  1  0  29  950 1.000000
D  1  1  0  30  950 1.000000
D  1  1  0  31  950 1.000000
D  1  1  0  32  950 1.000000
D  1  1  0  33  950 1.000000
D  1  1  0  34  950 1.000000
D  1  1  0  35  950 1.000000
D  1  1  0  36  950 1.000000
D  1  1  0  37  950 1.000000
D  1  1  0  38  950 1.000000
D  1  1  0  39  950 1.000000
D  1  1  1   0  950 1.000000
D  1  1  1   1  950 1.000000
D  1  1  1   2  950 1.000000
D  1  1  1   3  950 1.000000
D  1  1  1   4  950 1.000000
D  1  1  1   5  950 1.000000
D  1  1  1   6  950 1.000000
D  1  1  1   7  950 1.000000
D  1  1  1   8  950 1.000000
D  1  1  1   9  950 1.000000
D  1  1  1  10  950 1.000000
D  1  1  1  11  950 1.000000
D  1  1  1  12  950 1.000000
D  1  1  1  13  950 1.000000
D  1  1  1  14  950 1.000000
D  1  1  1  15  950 1.000000
D  1  1  1  16  950 1.000000
D  1  1  1  17  950 1.000000
D  1  1  1  18  950 1.000000
D  1  1  1  19  950 1.000000
D  1  1  1  20  950 1.000000
D  1  1  1  21  950 1.000000
D  1  1  1  22  950 1.000000
D  1  1  1  23  950 1.000000
D  1  1  1  24  950 1.000000
D  1  1  1  25  950 1.000000
D  1  1  1  26  950 1.000000
D  1  1  1  27  950 1.000000
D  1  1  1  28  950 1.000000
D  1  1  1  29  950 1.000000
D  1  1  1  30  950 1.000000
D  1  1  1  31  950 1.000000
D  1  1  1  32  950 1.000000
D  1  1  1  33  950 1.000000
D  1  1  1  34  950 1.000000
D  1  1  1  35  950 1.000000
D  1  1  1  36  950 1.000000
D  1  1  1  37  950 1.000000
D  1  1  1  38  950 1.000000
D  1  1  1  39  950 1.000000
D  1  2  0   0  950 1.000000
D  1  2  0   1  950 1.000000
D  1  2  0   2  950 1.000000
D  1  2  0   3  950 1.000000
D  1  2  0   4  950 1.000000
D  1  2  0   5  950 1.000000
D  1  2  0   6  950 1.000000
D  1  2  0   7  950 1.000000
D  1  2  0   8  950 1.000000
D  1  2  0   9  950 1.000000
D  1  2  0  10  950 1.000000
D  1  2  0  11  950 1.000000
D  1  2  0  12  950 1.000000
D  1  2  0  13  950 1.000000
D  1  2  0  14  950 1.000000
D  1  2  0  15  950 1.000000
D  1  2  0  16  950 1.000000
D  1  2  0  17  950 1.000000
D  1  2  0  18  950 1.000000
D  1  2  0  19  950 1.000000
D  1  2  0  20  950 1.000000
D  1  2  0  21  950 1.000000
D  1  2  0  22  950 1.000000
D  1  2  0  23  950 1.000000
D  1  2  0  24  950 1.000000
D  1  2  0  25  950 1.000000
D  1  2  0  26  950 1.000000
D  1  2  0  27  950 1.000000
D  1  2  0  28  950 1.000000
D  1  2  0  29  950 1.000000
D  1  2  0  30  950 1.000000
D  1  2  0  31  950 1.000000
D  1  2  0  32  950 1.000000
D  1  2  0  33  950 1.000000
D  1  2  0  34  950 1.000000
D  1  2  0  35  950 1.000000
D  1  2  0  36  950 1.000000
D  1  2  0  37  950 1.000000
D  1  2  0  38  950 1.000000
D  1  2  0  39  950 1.000000
D  1  2  1   0  950 1.000000
D  1  2  1   1  950 1.000000
D  1  2  1   2  950 1.000000
D  1  2  1   3  950 1.000000
D  1  2  1   4  950 1.000000
D  1  2  1   5  950 1.000000
D  1  2  1   6  950 1.000000
D  1  2  1   7  950 1.000000
D  1  2  1   8  950 1.000000
D  1  2  1   9  950 1.000000
D  1  2  1  10  950 1.000000
D  1  2  1  11  950 1.000000
D  1  2  1  12  950 1.000000
D  1  2  1  13  950 1.000000
D  1  2  1  14  950 1.000000
D  1  2  1  15  950 1.000000
D  1  2  1  16  950 1.000000
D  1  2  1  17  950 1.000000
D  1  2  1  18  950 1.000000
D  1  2  1  19  950 1.000000
D  1  2  1  20  950 1.000000
D  1  2  1  21  950 1.000000
D  1  2  1  22  950 1.000000
D  1  2  1  23  950 1.000000
D  1  2  1  24  950 1.000000
D  1  2  1  25  950 1.000000
D  1  2  1  26  950 1.000000
D  1  2  1  27  950 1.000000
D  1  2  1  28  950 1.000000
D  1  2  1  29  950 1.000000
D  1  2  1  30  950 1.000000
D  1  2  1  31  950 1.000000
D  1  2  1  32  950 1.000000
D  1  2  1  33  950 1.000000
D  1  2  1  34  950 1.000000
D  1  2  1  35  950 1.000000
D  1  2  1  36  950 1.000000
D  1  2  1  37  950 1.000000
D  1  2  1  38  950 1.000000
D  1  2  1  39  950 1.000000
D  1  3  0   0  950 1.000000
D  1  3  0   1  950 1.000000
D  1  3  0   2  950 1.000000
D  1  3  0   3  950 1.000000
D  1  3  0   4  950 1.000000
D  1  3  0   5  950 1.000000
D  1  3  0   6  950 1.000000
D  1  3  0   7  950 1.000000
D  1  3  0   8  950 1.000000
D  1  3  0   9  950 1.000000
D  1  3  0  10  950 1.000000
D  1  3  0  11  950 1.000000
D  1  3  0  12  950 1.000000
D  1  3  0  13  950 1.000000
D  1  3  0  14  950 1.000000
D  1  3  0  15  950 1.000000
D  1  3  0  16  950 1.000000
D  1  3  0  17  950 1.000000
D  1  3  0  18  950 1.000000
D  1  3  0  19  950 1.000000
D  1  3  0  20  950 1.000000
D  1  3  0  21  950 1.000000
D  1  3  0  22  950 1.000000
D  1  3  0  23  950 1.000000
D  1  3  0  24  950 1.000000
D  1  3  0  25  950 1.000000
D  1  3  0  26  950 1.000000
D  1  3  0  27  950 1.000000
D  1  3  0  28  950 1.000000
D  1  3  0  29  950 1.000000
D  1  3  0  30  950 1.000000
D  1  3  0  31  950 1.000000
D  1  3  0  32  950 1.000000
D  1  3  0  33  950 1.000000
D  1  3  0  34  950 1.000000
D  1  3  0  35  950 1.000000
D  1  3  0  36  950 1.000000
D  1  3  0  37  950 1.000000
D  1  3  0  38  950 1.000000
D  1  3  0  39  950 1.000000
D  1  3  1   0  950 1.000000
D  1  3  1   1  950 1.000000
D  1  3  1   2  950 1.000000
D  1  3  1   3  950 1.000000
D  1  3  1   4  950 1.000000
D  1  3  1   5  950 1.000000
D  1  3  1   6  950 1.000000
D  1  3  1   7  950 1.000000
D  1  3  1   8  950 1.000000
D  1  3  1   9  950 1.000000
D  1  3  1  10  950 1.000000
D  1  3  1  11  950 1.000000
D  1  3  1  12  950 1.000000
D  1  3  1  13  950 1.000000
D  1  3  1  14  950 1.000000
D  1  3  1  15  950 1.000000
D  1  3  1  16  950 1.000000
D  1  3  1  17  950 1.000000
D  1  3  1  18  950 1.000000
D  1  3  1  19  950 1.000000
D  1  3  1  20  950 1.000000
D  1  3  1  21  950 1.000000
D  1  3  1  22  950 1.000000
D  1  3  1  23  950 1.000000
D  1  3  1  24  950 1.000000
D  1  3  1  25  950 1.000000
D  1  3  1  26  950 1.000000
D  1  3  1  27  950 1.000000
D  1  3  1  28  950 1.000000
D  1  3  1  29  950 1.000000
D  1  3  1  30  950 1.000000
D  1  3  1  31  950 1.000000
D  1  3  1  32  950 1.000000
D  1  3  1  33  950 1.000000
D  1  3  1  34  950 1.000000
D  1  3  1  35  950 1.000000
D  1  3  1  36  950 1.000000
D  1  3  1  37  950 1.000000
D  1  3  1  38  950 1.000000
D  1  3  1  39  950 1.000000
D  0  0  0   0  600 0.050000
D  0  0  0   1  600 0.050000
D  0  0  0   2  600 0.050000
D  0  0  0   3  600 0.050000
D  0  0  0   4  600 0.050000
D  0  0  0   5  600 0.050000
D  0  0  0   6  600 0.050000
D  0  0  0   7  600 0.050000
D  0  0  0   8  600 0.050000
D  0  0  0   9  600 0.050000
D  0  0  0  10  600 0.050000
D  0  0  0  11  600 0.050000
D  0  0  0  12  600 0.050000
D  0  0  0  13  600 0.050000
D  0  0  0  14  600 0.050000
D  0  0  0  15  600 0.050000
D  0  0  0  16  600 0.050000
D  0  0  0  17  600 0.050000
D  0  0  0  18  600 0.050000
D  0  0  0  19  600 0.050000
D  0  0  1   0  600 0.050000
D  0  0  1   1  600 0.050000
D  0  0  1   2  600 0.050000
D  0  0  1   3  600 0.050000
D  0  0  1   4  600 0.050000
D  0  0  1   5  600 0.050000
D  0  0  1   6  600 0.050000
D  0  0  1   7  600 0.050000
D  0  0  1   8  600 0.050000
D  0  0  1   9  600 0.050000
D  0  0  1  10  600 0.050000
D  0  0  1  11  600 0.050000
D  0  0  1  12  600 0.050000
D  0  0  1  13  600 0.050000
D  0  0  1  14  600 0.050000
D  0  0  1  15  600 0.050000
D  0  0  1  16  600 0.050000
D  0  0  1  17  600 0.050000
D  0  0  1  18  600 0.050000
D  0  0  1  19  600 0.050000
D  0  1  0   0  600 0.050000
D  0  1  0   1  600 0.050000
D  0  1  0   2  600 0.050000
D  0  1  0   3  600 0.050000
D  0  1  0   4  600 0.050000
D  0  1  0   5  600 0.050000
D  0  1  0   6  600 0.050000
D  0  1  0   7  600 0.050000
D  0  1  0   8  600 0.050000
D  0  1  0   9  600 0.050000
D  0  1  0  10  600 0.050000
D  0  1  0  11  600 0.050000
D  0  1  0  12  600 0.050000
D  0  1  0  13  600 0.050000
D  0  1  0  14  600 0.050000
D  0  1  0  15  600 0.050000
D  0  1  0  16  600 0.050000
D  0  1  0  17  600 0.050000
D  0  1  0  18  600 0.050000
D  0  1  0  19  600 0.050000
D  0  1  1   0  600 0.050000
D  0  1  1   1  600 0.050000
D  0  1  1   2  600 0.050000
D  0  1  1   3  600 0.050000
D  0  1  1   4  600 0.050000
D  0  1  1   5  600 0.050000
D  0  1  1   6  600 0.050000
D  0  1  1   7  600 0.050000
D  0  1  1   8  600 0.050000
D  0  1  1   9  600 0.050000
D  0  1  1  10  600 0.050000
D  0  1  1  11  600 0.050000
D  0  1  1  12  600 0.050000
D  0  1  1  13  600 0.050000
D  0  1  1  14  600 0.050000
D  0  1  1  15  600 0.050000
D  0  1  1  16  600 0.050000
D  0  1  1  17  600 0.050000
D  0  1  1  18  600 0.050000
D  0  1  1  19  600 0.050000
D  0  2  0   0  600 0.050000
D  0  2  0   1  600 0.050000
D  0  2  0   2  600 0.050000
D  0  2  0   3  600 0.050000
D  0  2  0   4  600 0.050000
D  0  2  0   5  600 0.050000
D  0  2  0   6  600 0.050000
D  0  2  0   7  600 0.050000
D  0  2  0   8  600 0.050000
D  0  2  0   9  600 0.050000
D  0  2  0  10  600 0.050000
D  0  2  0  11  600 0.050000
D  0  2  0  12  600 0.050000
D  0  2  0  13  600 0.050000
D  0  2  0  14  600 0.050000
D  0  2  0  15  600 0.050000
D  0  2  0  16  600 0.050000
D  0  2  0  17  600 0.050000
D  0  2  0  18  600 0.050000
D  0  2  0  19  600 0.050000
D  0  2  1   0  600 0.050000
D  0  2  1   1  600 0.050000
D  0  2  1   2  600 0.050000
D  0  2  1   3  600 0.050000
D  0  2  1   4  600 0.050000
D  0  2  1   5  600 0.050000
D  0  2  1   6  600 0.050000
D  0  2  1   7  600 0.050000
D  0  2  1   8  600 0.050000
D  0  2  1   9  600 0.050000
D  0  2  1  10  600 0.050000
D  0  2  1  11  600 0.050000
D  0  2  1  12  600 0.050000
D  0  2  1  13  600 0.050000
D  0  2  1  14  600 0.050000
D  0  2  1  15  600 0.050000
D  0  2  1  16  600 0.050000
D  0  2  1  17  600 0.050000
D  0  2  1  18  600 0.050000
D  0  2  1  19  600 0.050000
D  0  3  0   0  600 0.050000
D  0  3  0   1  600 0.050000
D  0  3  0   2  600 0.050000
D  0  3  0   3  600 0.050000
D  0  3  0   4  600 0.050000
D  0  3  0   5  600 0.050000
D  0  3  0   6  600 0.050000
D  0  3  0   7  600 0.050000
D  0  3  0   8  600 0.050000
D  0  3  0   9  600 0.050000
D  0  3  0  10  600 0.050000
D  0  3  0  11  600 0.050000
D  0  3  0  12  600 0.050000
D  0  3  0  13  600 0.050000
D  0  3  0  14  600 0.050000
D  0  3  0  15  600 0.050000
D  0  3  0  16  600 0.050000
D  0  3  0  17  600 0.050000
D  0  3  0  18  600 0.050000
D  0  3  0  19  600 0.050000
D  0  3  1   0  600 0.050000
D  0  3  1   1  600 0.050000
D  0  3  1   2  600 0.050000
D  0  3  1   3  600 0.050000
D  0  3  1   4  600 0.050000
D  0  3  1   5  600 0.050000
D  0  3  1   6  600 0.050000
D  0  3  1   7  600 0.050000
D  0  3  1   8  600 0.050000
D  0  3  1   9  600 0.050000
D  0  3  1  10  600 0.050000
D  0  3  1  11  600 0.050000
D  0  3  1  12  600 0.050000
D  0  3  1  13  600 0.050000
D  0  3  1  14  600 0.050000
D  0  3  1  15  600 0.050000
D  0  3  1  16  600 0.050000
D  0  3  1  17  600 0.050000
D  0  3  1  18  600 0.050000
D  0  3  1  19  600 0.050000
D  1  0  0   0  600 0.050000
D  1  0  0   1  600 0.050000
D  1  0  0   2  600 0.050000
D  1  0  0   3  600 0.050000
D  1  0  0   4  600 0.050000
D  1  0  0   5  600 0.050000
D  1  0  0   6  600 0.050000
D  1  0  0   7  600 0.050000
D  1  0  0   8  600 0.050000
D  1  0  0   9  600 0.050000
D  1  0  0  10  600 0.050000
D  1  0  0  11  600 0.050000
D  1  0  0  12  600 0.050000
D  1  0  0  13  600 0.050000
D  1  0  0  14  600 0.050000
D  1  0  0  15  600 0.050000
D  1  0  0  16  600 0.050000
D  1  0  0  17  600 0.050000
D  1  0  0  18  600 0.050000
D  1  0  0  19  600 0.050000
D  1  0  0  20  600 0.050000
D  1  0  0  21  600 0.050000
D  1  0  0  22  600 0.050000
D  1  0  0  23  600 0.050000
D  1  0  0  24  600 0.050000
D  1  0  0  25  600 0.050000
D  1  0  0  26  600 0.050000
D  1  0  0  27  600 0.050000
D  1  0  0  28  600 0.050000
D  1  0  0  29  600 0.050000
D  1  0  0  30  600 0.050000
D  1  0  0  31  600 0.050000
D  1  0  0  32  600 0.050000
D  1  0  0  33  600 0.050000
D  1  0  0  34  600 0.050000
D  1  0  0  35  600 0.050000
D  1  0  0  36  600 0.050000
D  1  0  0  37  600 0.050000
D  1  0  0  38  600 0.050000
D  1  0  0  39  600 0.050000
D  1  0  1   0  600 0.050000
D  1  0  1   1  600 0.050000
D  1  0  1   2  600 0.050000
D  1  0  1   3  600 0.050000
D  1  0  1   4  600 0.050000
D  1  0  1   5  600 0.050000
D  1  0  1   6  600 0.050000
D  1  0  1   7  600 0.050000
D  1  0  1   8  600 0.050000
D  1  0  1   9  600 0.050000
D  1  0  1  10  600 0.050000
D  1  0  1  11  600 0.050000
D  1  0  1  12  600 0.050000
D  1  0  1  13  600 0.050000
D  1  0  1  14  600 0.050000
D  1  0  1  15  600 0.050000
D  1  0  1  16  600 0.050000
D  1  0  1  17  600 0.050000
D  1  0  1  18  600 0.050000
D  1  0  1  19  600 0.050000
D  1  0  1  20  600 0.050000
D  1  0  1  21  600 0.050000
D  1  0  1  22  600 0.050000
D  1  0  1  23  600 0.050000
D  1  0  1  24  600 0.050000
D  1  0  1  25  600 0.050000
D  1  0  1  26  600 0.050000
D  1  0  1  27  600 0.050000
D  1  0  1  28  600 0.050000
D  1  0  1  29  600 0.050000
D  1  0  1  30  600 0.050000
D  1  0  1  31  600 0.050000
D  1  0  1  32  600 0.050000
D  1  0  1  33  600 0.050000
D  1  0  1  34  600 0.050000
D  1  0  1  35  600 0.050000
D  1  0  1  36  600 0.050000
D  1  0  1  37  600 0.050000
D  1  0  1  38  600 0.050000
D  1  0  1  39  600 0.050000
D  1  1  0   0  600 0.050000
D  1  1  0   1  600 0.050000
D  1  1  0   2  600 0.050000
D  1  1  0   3  600 0.050000
D  1  1  0   4  600 0.050000
D  1  1  0   5  600 0.050000
D  1  1  0   6  600 0.050000
D  1  1  0   7  600 0.050000
D  1  1  0   8  600 0.050000
D  1  1  0   9  600 0.050000
D  1  1  0  10  600 0.050000
D  1  1  0  11  600 0.050000
D  1  1  0  12  600 0.050000
D  1  1  0  13  600 0.050000
D  1  1  0  14  600 0.050000
D  1  1  0  15  600 0.050000
D  1  1  0  16  600 0.050000
D  1  1  0  17  600 0.050000
D  1  1  0  18  600 0.050000
D  1  1  0  19  600 0.050000
D  1  1  0  20  600 0.050000
D  1  1  0  21  600 0.050000
D  1  1  0  22  600 0.050000
D  1  1  0  23  600 0.050000
D  1  1  0  24  600 0.050000
D  1  1  0  25  600 0.050000
D  1  1  0  26  600 0.050000
D  1  1  0  27  600 0.050000
D  1  1  0  28  600 0.050000
D  1  1  0  29  600 0.050000
D  1  1  0  30  600 0.050000
D  1  1  0  31  600 0.050000
D  1  1  0  32  600 0.050000
D  1  1  0  33  600 0.050000
D  1  1  0  34  600 0.050000
D  1  1  0  35  600 0.050000
D  1  1  0  36  600 0.050000
D  1  1  0  37  600 0.050000
D  1  1  0  38  600 0.050000
D  1  1  0  39  600 0.050000
D  1  1  1   0  600 0.050000
D  1  1  1   1  600 0.050000
D  1  1  1   2  600 0.050000
D  1  1  1   3  600 0.050000
D  1  1  1   4  600 0.050000
D  1  1  1   5  600 0.050000
D  1  1  1   6  600 0.050000
D  1  1  1   7  600 0.050000
D  1  1  1   8  600 0.050000
D  1  1  1   9  600 0.050000
D  1  1  1  10  600 0.050000
D  1  1  1  11  600 0.050000
D  1  1  1  12  600 0.050000
D  1  1  1  13  600 0.050000
D  1  1  1  14  600 0.050000
D  1  1  1  15  600 0.050000
D  1  1  1  16  600 0.050000
D  1  1  1  17  600 0.050000
D  1  1  1  18  600 0.050000
D  1  1  1  19  600 0.050000
D  1  1  1  20  600 0.050000
D  1  1  1  21  600 0.050000
D  1  1  1  22  600 0.050000
D  1  1  1  23  600 0.050000
D  1  1  1  24  600 0.050000
D  1  1  1  25  600 0.050000
D  1  1  1  26  600 0.050000
D  1  1  1  27  600 0.050000
D  1  1  1  28  600 0.050000
D  1  1  1  29  600 0.050000
D  1  1  1  30  600 0.050000
D  1  1  1  31  600 0.050000
D  1  1  1  32  600 0.050000
D  1  1  1  33  600 0.050000
D  1  1  1  34  600 0.050000
D  1  1  1  35  600 0.050000
D  1  1  1  36  600 0.050000
D  1  1  1  37  600 0.050000
D  1  1  1  38  600 0.050000
D  1  1  1  39  600 0.050000
D  1  2  0   0  600 0.050000
D  1  2  0   1  600 0.050000
D  1  2  0   2  600 0.050000
D  1  2  0   3  600 0.050000
D  1  2  0   4  600 0.050000
D  1  2  0   5  600 0.050000
D  1  2  0   6  600 0.050000
D  1  2  0   7  600 0.050000
D  1  2  0   8  600 0.050000
