PARAM_START
FORMAT_TYPE: SCINTI_POSITION
FORMAT: 001
VERSION: 003
DATE: 080402
PERSON: Watanabe Hironori
COMMENT: only 3 data were modified by H.MENJO
        32mm-06
	32mm-13
	32mm-12
PARAM_END

FORMAT_START
NDATA: 10
A  #D  #SS #S #S-No  #C0 #C1 #C2 #C3 #C4 #C5 #C6 #C7 #C8 #C9
A 1 32 2 8  113.953  0.517963  -0.00660018 -0.000473202   -0.432704   -0.0356185  4.3482e-05    0.00361593  -0.000557811 -0.00569615
A 1 32 2 3  122.218  0.543444  -0.0130779  -0.000757256   0.134054    -0.0204685  -6.1514e-05   0.00395669  -0.0009065   -0.00392235
A 1 32 2 4  94.2337  0.509348  -0.00641285 -0.00125719    -0.209372   -0.0234223  0.0006841     0.00296438  0.000648406  -0.0046353
A 1 32 2 6  127.515  0.546091  -0.00619246 -0.000277893   0.468495    -0.0359082  -0.000615922   -0.00296167 -3.73056e-05 -0.00546353
A 1 32 2 11 126.699  0.673935  -0.0170663  -0.00113261    -0.331208   -0.0476997  0.0005786     0.000801924 -0.000362447 -0.0064704
A 1 32 2 9  142.85   0.662812  -0.0143631  -0.000812478   0.355986    -0.0433121  -0.00064289   0.00504729  -0.000354513 -0.00636735
A 1 32 2 10 141.584  0.727991  -0.0106401  -0.000153596   0.165964    -0.0530579  -0.0004653    0.00217439  0.000294857  -0.00758984
#A 1 32 2 13 140.899  0.543487  -0.00627268 0.000679921    -0.0266045  -0.0378189  -0.000881608   0.0132041   -0.000623009 -0.00600718
A  1 32 2 13      140.695     0.514755  -0.00557684  0.000993473   -0.0666016   -0.0336277 -0.000444394   0.00915769 -0.000514632  -0.00650625
A 1 32 2 14 144.364  0.613885  -0.0044518  -0.000219873   -0.25322    -0.0402409  0.00018344    -0.00337421 -0.0010959   -0.0068933
A 1 32 2 2  126.507  0.283592  -0.000203044 0.00083971    0.230048    0.02468     0.0010261     0.0064849   -0.000431768 -0.00337517
A 1 32 2 5  89.6563  0.18441   -0.00988566  0.00110187    -0.0911669  0.0313278   -0.00024258   -0.00701952 -0.000794857 -0.00318574
A 1 32 2 12 97.3256  0.31121   -0.000705436 0.000193339   0.164034    0.017747    3.75632e-5    0.000679409  0.00015925  -0.00349433
A 1 32 2 15 125.445  0.383666  0.0023446    -0.000103351  0.206553    0.0314878   0.0014408     0.00797564   -0.0005541  -0.00281551
A 1 32 2 7  127.942  0.349025  -0.0114129   0.000290522   -0.291997  -0.0213838   1.8840e-05    -0.000473498 0.000174836 -0.00444231
A 1 25 3 0  104.675  0.811726  -0.0108652  -0.00179297    0.562297    -0.050326   -0.000486472  0.00979464  0.000461452  -0.0122415
A 1 25 3 9  147.561  0.795631  -0.0151118  0.000124195    -0.168596   -0.0920646  -0.00004531   0.00703516  -0.00292911  -0.0147932
A 1 25 3 6  152.905  1.04951   -0.00623042 -0.00205884    0.442366    -0.0905576  -0.00081552   0.00890558  -0.00369122  -0.0167138
A 1 25 3 7  156.622  0.790574  0.00259565  -0.000216927   0.835069    -0.0691807  -0.0047179    0.016524    1.89039e-05  -0.0161742
A 1 25 3 8  117.638  0.66395   -0.00636777 0.0003929      0.131831    -0.0600354  0.00040184    -0.0150826  0.000174911  -0.0117112
A 1 25 3 10 115.692  0.786898  -0.00118455 -0.00221558    0.193599    -0.0658429  0.00010984    0.017123    0.00229842   -0.0129566
A 1 25 3 1  122.208  0.934153  -0.010422   -0.00211577    0.245336    -0.0638073  -0.00097905   0.00901963  -0.000975481 -0.0120685
A 1 25 3 3  128.778  0.814277  -0.0179258  -0.00147198    0.149303    -0.0715314  0.0006803     0.00585222  -0.000603998 -0.0134269
A 1 25 3 4  112.445  0.628828  -0.00562659 -0.00221291    -0.0403979  -0.0412635  6.1185e-05    0.00756762  -0.000786381 -0.00810128
A 1 25 3 11 137.367  0.734878  -0.00740762 -0.000331043   -0.147438   -0.0559692  -0.00238016   0.00861928  0.00147771   -0.0115758
A 1 25 3 13 136.508  0.747432  -0.0282951  -0.00198078    0.788837    -0.0821283  -0.0032132    0.00556892  0.00213634   -0.0137412
A 1 25 3 14 142.953  0.469437  -0.0215992  -0.000309139   -0.267072   -0.0676033  0.00090904    0.00792924  0.000414659  -0.0100236
A 1 25 3 2  124.995  0.390202  0.0056512   -0.00120878    -0.310655   0.0716507   0.002749      0.0121527   0.000227744  -0.00685637
A 1 25 3 5  100.82   0.0042508 -0.0160066  0.00138806     -0.00268615 0.0628427   -0.002524     0.0038018   0.00140813   -0.0020524
A 1 25 3 12 121.872  0.349973  -0.0103061  0.00050683     0.0270682   0.0299168   -0.002507     -0.00594646 0.000631523  -0.0062714
A 1 25 3 15 126.116  -0.094697 -0.00315672 0.00398415     0.0175121   0.068406    -0.0031061    0.014849    0.00365856   -0.00438633


DATA_END

#D     =  Ditecter No.( 0->Detector1 20mm and 40mm tower , 1->Detector2 25mm and 32mm tower )
#SS    =  Scinti Size
#S     =  Scinti Size No. (  0 -> 40mm  ,  1 -> 20mm , 2 -> 32mm , 3 -> 25mm)
#S-No  =  Scinti No.

2D Fit function
 #C0 + #C1*x + #C2*x^2 + #C3*x^3 + #C4*y + #C5*y^2 + #C6*y^3 + #C7*xy + #C8*x^2y + #C9*xy^2

